id,date,rawContent,user,replyCount,retweetCount,likeCount,quoteCount,Roberta_neg,Roberta_neu,Roberta_pos
1649156544070598656,2023-04-20 21:02:14+00:00,"#WeLoveBob “They all love Bob, but  do they love Don Carlo?” #mafiosoart #ThrowbackThursday #420day #Dopereum #viralart https://t.co/J2eplaTxcr","{'username': 'Giuseppe_Artist', 'id': 1646319074438152192, 'displayname': 'Giuseppe Tantaloni', 'rawDescription': ""🎨🎭The night life of New Orleans has me inspired! Let's connect, you might just want to get some of my mafioso art ©💯 mio 🙌🏼 #artist #mafiosoart #NewOrleans"", 'renderedDescription': ""🎨🎭The night life of New Orleans has me inspired! Let's connect, you might just want to get some of my mafioso art ©💯 mio 🙌🏼 #artist #mafiosoart #NewOrleans"", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2023, 4, 13, 1, 7, 19, tzinfo=datetime.timezone.utc), 'followersCount': 19, 'friendsCount': 243, 'statusesCount': 74, 'favouritesCount': 140, 'listedCount': 0, 'mediaCount': 27, 'location': 'New Orleans, LA', 'protected': False, 'link': {'text': 'instagram.com/mio_grigio_par…', 'url': 'https://instagram.com/mio_grigio_parete?igshid=YmMyMTA2M2Y=', 'tcourl': 'https://t.co/tswbz1oFfG', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1646319556200128512/0GrIRjb6_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1646319074438152192/1681349354', 'label': None}",0,0,0,0,0.01469177,0.36456776,0.62074053
1649156331104813056,2023-04-20 21:01:23+00:00,"Shark?🤣🧐
#shark #sharks #essaypay #EidAlFitr2023 #WeLoveBob #BlueCheckMark #EuropaLeague #ASTRO #animal #studytwt #study #essaypay https://t.co/MQbIWqu4nB","{'username': 'essayshark', 'id': 429173405, 'displayname': 'EssayShark', 'rawDescription': ""Life Is Hard Enough Already, Your Essay Doesn't Have To Be That Way. 24/7 Plagiarism Free Essay Writing Help | APP OUT NOW!"", 'renderedDescription': ""Life Is Hard Enough Already, Your Essay Doesn't Have To Be That Way. 24/7 Plagiarism Free Essay Writing Help | APP OUT NOW!"", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2011, 12, 5, 17, 7, 46, tzinfo=datetime.timezone.utc), 'followersCount': 1735, 'friendsCount': 345, 'statusesCount': 24617, 'favouritesCount': 8834, 'listedCount': 12, 'mediaCount': 6005, 'location': 'United States', 'protected': False, 'link': {'text': 'essayshark.com', 'url': 'http://essayshark.com', 'tcourl': 'https://t.co/vfcjR3SRIH', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/937394108833980416/akD5JRkX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/429173405/1630408408', 'label': None}",0,0,0,0,0.027896933,0.4726623,0.4994407
1649156258367438858,2023-04-20 21:01:06+00:00,@Cryptoboss2000 #WELOVEBOB is a movement. $BOB. https://t.co/gCYkc1202C,"{'username': 'Risiah1', 'id': 166729089, 'displayname': '12is Degen', 'rawDescription': 'Not a financial advisor, caller or an influencer. Just a degen trying to make it. #microcap hunter.  DYOR.  ""Trust No One, Trust The Code, Long Live Defi"" X7', 'renderedDescription': 'Not a financial advisor, caller or an influencer. Just a degen trying to make it. #microcap hunter.  DYOR.  ""Trust No One, Trust The Code, Long Live Defi"" X7', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2010, 7, 14, 21, 34, 15, tzinfo=datetime.timezone.utc), 'followersCount': 2076, 'friendsCount': 653, 'statusesCount': 5020, 'favouritesCount': 13414, 'listedCount': 24, 'mediaCount': 1293, 'location': 'Namek', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1567204795387359232/n3NEJpi2_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/166729089/1662215475', 'label': None}",0,0,0,0,0.02864408,0.76277727,0.2085786
1649155932256092161,2023-04-20 20:59:48+00:00,@ExplainThisBob @ClownOfCrypto #WELOVEBOB and so does @elonmusk $BOB https://t.co/Dz2BQpohQV,"{'username': 'Risiah1', 'id': 166729089, 'displayname': '12is Degen', 'rawDescription': 'Not a financial advisor, caller or an influencer. Just a degen trying to make it. #microcap hunter.  DYOR.  ""Trust No One, Trust The Code, Long Live Defi"" X7', 'renderedDescription': 'Not a financial advisor, caller or an influencer. Just a degen trying to make it. #microcap hunter.  DYOR.  ""Trust No One, Trust The Code, Long Live Defi"" X7', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2010, 7, 14, 21, 34, 15, tzinfo=datetime.timezone.utc), 'followersCount': 2076, 'friendsCount': 653, 'statusesCount': 5020, 'favouritesCount': 13414, 'listedCount': 24, 'mediaCount': 1293, 'location': 'Namek', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1567204795387359232/n3NEJpi2_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/166729089/1662215475', 'label': None}",0,0,0,0,0.10634193,0.7758867,0.11777128
1649155149590593539,2023-04-20 20:56:42+00:00,"#WeLoveBob
Bob: huh? What's happening to me?","{'username': 'Becca_Californi', 'id': 2946821236, 'displayname': '🌴Latina Americana🇺🇸', 'rawDescription': 'No.1 fan of                            \n#GoHalos\n#LADodgers\n#ILoveYorkies🐕\n\n#BeachGirl🏖\nSmartass😝\nMusic is my jam🎶\nI love Mexican Food🌯🌮\n\n10-5-6-5', 'renderedDescription': 'No.1 fan of                            \n#GoHalos\n#LADodgers\n#ILoveYorkies🐕\n\n#BeachGirl🏖\nSmartass😝\nMusic is my jam🎶\nI love Mexican Food🌯🌮\n\n10-5-6-5', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2014, 12, 29, 0, 6, 17, tzinfo=datetime.timezone.utc), 'followersCount': 759, 'friendsCount': 703, 'statusesCount': 84002, 'favouritesCount': 27108, 'listedCount': 8, 'mediaCount': 1988, 'location': 'BORN AND RAISED IN EAST LA ', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1553940637224824832/nW5arDTX_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2946821236/1625600466', 'label': None}",0,0,0,0,0.10872802,0.68694717,0.20432478
1649154812796182531,2023-04-20 20:55:21+00:00,"A little Memorial Day backyard fun with my bestie no matter how far, we're always there for each other &amp; love one another
#WeLoveBob https://t.co/dnzxQuXrec","{'username': 'sophia_wilson01', 'id': 1511310090049101827, 'displayname': 'Sophia wilson', 'rawDescription': ""I'm an amiable person"", 'renderedDescription': ""I'm an amiable person"", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 4, 5, 11, 50, 28, tzinfo=datetime.timezone.utc), 'followersCount': 21, 'friendsCount': 56, 'statusesCount': 7, 'favouritesCount': 4, 'listedCount': 0, 'mediaCount': 3, 'location': 'Killeen, TX', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1648770453123612680/oRal1s_b_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1511310090049101827/1681932495', 'label': None}",0,0,0,0,0.0010913601,0.011277887,0.9876308
1649154780692897792,2023-04-20 20:55:14+00:00,it’s me bob #WeLoveBob,"{'username': 'boblover3000', 'id': 1645541077091221504, 'displayname': 'bob', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2023, 4, 10, 21, 35, 47, tzinfo=datetime.timezone.utc), 'followersCount': 0, 'friendsCount': 1, 'statusesCount': 1, 'favouritesCount': 0, 'listedCount': 0, 'mediaCount': 0, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png', 'profileBannerUrl': None, 'label': None}",0,0,0,0,0.0046294793,0.18323253,0.81213796
1649154144190570499,2023-04-20 20:52:42+00:00,Who is Bob and  why do we love him? #WeLoveBob https://t.co/zx09A192kH,"{'username': 'nofaultbutmyown', 'id': 814224074, 'displayname': 'Paige', 'rawDescription': 'Only music and love live forever.\n\nLover of movies and collector of all things dark and spooky 👻\n\nCashApp $PaigesVintage', 'renderedDescription': 'Only music and love live forever.\n\nLover of movies and collector of all things dark and spooky 👻\n\nCashApp $PaigesVintage', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2012, 9, 10, 1, 22, 36, tzinfo=datetime.timezone.utc), 'followersCount': 132, 'friendsCount': 622, 'statusesCount': 3961, 'favouritesCount': 6253, 'listedCount': 6, 'mediaCount': 223, 'location': 'Gulf Coast ', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1315770841662013440/KGInZNGa_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/814224074/1602539188', 'label': None}",0,0,0,0,0.018515928,0.28263775,0.69884634
1649153371599695899,2023-04-20 20:49:38+00:00,"Don't record him 😂🤣😅

Pls follow: @ApstFortune

#WeLoveBob  #BlueCheckMark  White Men Can't Jump  Martial  Robbie Savage  #WHUGEN  #pogdogs  #Taskmaster  Varane and Martinez  #SLStHWar #EvilDeadRise  Sonam Kapoor  #TheBalaFamily Tebogo Ramokgadi  #BOYSPLANETfinal   #RIPMoonbin https://t.co/7iByX34e20","{'username': 'ApstFortune', 'id': 1542505726517469186, 'displayname': 'Apostle fortune i. Angel', 'rawDescription': 'Official Twitter Page:- Apostle Fortune I. Angel, The president of The Warriors Place international. Thank You for Following 🧎\u200d♂️', 'renderedDescription': 'Official Twitter Page:- Apostle Fortune I. Angel, The president of The Warriors Place international. Thank You for Following 🧎\u200d♂️', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 6, 30, 13, 50, 8, tzinfo=datetime.timezone.utc), 'followersCount': 1043, 'friendsCount': 10, 'statusesCount': 3058, 'favouritesCount': 4271, 'listedCount': 3, 'mediaCount': 578, 'location': 'Abuja, Nigeria', 'protected': False, 'link': {'text': 'youtube.com/channel/UCMyKO…', 'url': 'https://youtube.com/channel/UCMyKOmEN4OwZeedgdlWRr1w', 'tcourl': 'https://t.co/tBOeGAuWQ2', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1644015974742360064/5AYDMmPZ_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1542505726517469186/1656599077', 'label': None}",0,0,0,0,0.19302693,0.5923888,0.21458422
1649153358920552450,2023-04-20 20:49:35+00:00,@RoyalPhobos #welovebob the CEO of Disney- @DisneyCEO1 Bob Iger for outsmarting Desantis AGAIN 🤣🤣 https://t.co/WnZONOAPBf,"{'username': 'Happyme2020P', 'id': 1282153610487271425, 'displayname': 'Alex 🇺🇸 🇨🇦', 'rawDescription': 'Proudest Parent, Founding Director of CCH, Amateur Chef, 🐶 + 🚞l lover', 'renderedDescription': 'Proudest Parent, Founding Director of CCH, Amateur Chef, 🐶 + 🚞l lover', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2020, 7, 12, 3, 23, 47, tzinfo=datetime.timezone.utc), 'followersCount': 29, 'friendsCount': 328, 'statusesCount': 530, 'favouritesCount': 4957, 'listedCount': 0, 'mediaCount': 166, 'location': 'Sunnyvale, CA', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1644193013445586944/ZdNK5UcF_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1282153610487271425/1647317252', 'label': None}",0,0,0,0,0.0054421625,0.09425831,0.9002996
