id,date,rawContent,user,replyCount,retweetCount,likeCount,quoteCount,Roberta_neg,Roberta_neu,Roberta_pos
1649156387581165570,2023-04-20 21:01:37+00:00,@GunnerKing14 Oh my god who made this😭If maguire and lindelof sucked like my future wife i would have 4 kids by now,"{'username': 'Rashford_aep', 'id': 1629997558360670209, 'displayname': '🇵🇹', 'rawDescription': 'United fan,', 'renderedDescription': 'United fan,', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2023, 2, 27, 0, 11, 36, tzinfo=datetime.timezone.utc), 'followersCount': 44, 'friendsCount': 90, 'statusesCount': 2076, 'favouritesCount': 7123, 'listedCount': 0, 'mediaCount': 153, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1648306799857025027/aNBW_c92_normal.jpg', 'profileBannerUrl': None, 'label': None}",0,0,0,0,0.8736256,0.11451477,0.011859593
1649156386952040453,2023-04-20 21:01:37+00:00,@ManUtd Someone like maguire cant be our captain 🚮🚮🚮🚮 poor decisions from ten hag and the  players,"{'username': 'CodeineMack', 'id': 1123642791458934785, 'displayname': 'Codeine Mack', 'rawDescription': 'ADDICTED TO DA LEAN', 'renderedDescription': 'ADDICTED TO DA LEAN', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2019, 5, 1, 17, 38, 12, tzinfo=datetime.timezone.utc), 'followersCount': 38, 'friendsCount': 143, 'statusesCount': 229, 'favouritesCount': 6022, 'listedCount': 1, 'mediaCount': 14, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1225780951676071936/yoMoc2SU_normal.jpg', 'profileBannerUrl': None, 'label': None}",0,0,0,0,0.89778274,0.093405165,0.008812093
1649156386083811330,2023-04-20 21:01:36+00:00,@utdreport Maguire fake he should be out of man utd team squard,"{'username': 'JooMuhumuza', 'id': 1608741061073027073, 'displayname': 'Muhumuza Brian joo', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 12, 30, 8, 26, 20, tzinfo=datetime.timezone.utc), 'followersCount': 12, 'friendsCount': 354, 'statusesCount': 6, 'favouritesCount': 150, 'listedCount': 0, 'mediaCount': 0, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1608741262949056513/uBwgTxEy_normal.jpg', 'profileBannerUrl': None, 'label': None}",0,0,0,0,0.7936303,0.1960857,0.010283952
1649156384976429056,2023-04-20 21:01:36+00:00,Take that clown of Maguire out of my team https://t.co/ZGBxrncHKs,"{'username': 'mugalulaf', 'id': 546978594, 'displayname': 'mugalula flaviano (Omuseenene)', 'rawDescription': ""Abaana n'abazukulu"", 'renderedDescription': ""Abaana n'abazukulu"", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2012, 4, 6, 15, 32, 23, tzinfo=datetime.timezone.utc), 'followersCount': 13, 'friendsCount': 124, 'statusesCount': 74, 'favouritesCount': 32, 'listedCount': 0, 'mediaCount': 6, 'location': '', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1597605217863979008/7g3zeACh_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/546978594/1669733313', 'label': None}",0,0,0,0,0.69104284,0.28712508,0.021831987
1649156384703782913,2023-04-20 21:01:36+00:00,@utdreport Maguire has proven once again that he is no captain material. People have tried to support him but it's just disaster after disaster,"{'username': 'Geanpaul_V', 'id': 351932374, 'displayname': 'Geanpaul Vasconez', 'rawDescription': 'Estudiante desarrollo de software', 'renderedDescription': 'Estudiante desarrollo de software', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2011, 8, 9, 22, 42, 59, tzinfo=datetime.timezone.utc), 'followersCount': 57, 'friendsCount': 56, 'statusesCount': 1138, 'favouritesCount': 22607, 'listedCount': 1, 'mediaCount': 527, 'location': 'Guayaquil, Ecuador', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1443295507732963330/DZMzzas3_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/351932374/1359428559', 'label': None}",0,0,0,0,0.9095003,0.082372434,0.008127214
1649156384557268998,2023-04-20 21:01:36+00:00,"@UtdPlug @OptaJoe I think Maguire, AWB, De Gea should be sold and invested in better players to replace them. They always have a day they do not show up often. Too many for this clubs standards.","{'username': 'AnonymousWork7', 'id': 1484147210564816902, 'displayname': 'AnonymousWorkaholic', 'rawDescription': 'Not important', 'renderedDescription': 'Not important', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2022, 1, 20, 12, 54, 11, tzinfo=datetime.timezone.utc), 'followersCount': 27, 'friendsCount': 22, 'statusesCount': 2038, 'favouritesCount': 427, 'listedCount': 0, 'mediaCount': 57, 'location': 'Colombo', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1503363575825723397/WNT_poaA_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1484147210564816902/1661948432', 'label': None}",0,0,0,0,0.5969977,0.36821172,0.034790624
1649156384305430530,2023-04-20 21:01:36+00:00,@ThereseUTD De gea MUST LEAVE THIS CLUB ALONG WITH MAGUIRE,"{'username': 'broly78600', 'id': 1452587936726331393, 'displayname': 'LuckyL 🇦🇪', 'rawDescription': 'Views are my own. War is the prophecy survival is the strategy', 'renderedDescription': 'Views are my own. War is the prophecy survival is the strategy', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 10, 25, 10, 48, 59, tzinfo=datetime.timezone.utc), 'followersCount': 32, 'friendsCount': 100, 'statusesCount': 12610, 'favouritesCount': 18290, 'listedCount': 1, 'mediaCount': 742, 'location': 'United Kingdom', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1582281006916182016/CzyYA16t_normal.jpg', 'profileBannerUrl': None, 'label': None}",0,0,0,0,0.3617667,0.5671339,0.07109939
1649156384108294145,2023-04-20 21:01:36+00:00,It would only be My team to Not score in a 2ND LEG To try qualify &amp; F*** up my bet. Maguire &amp; David De Gea should hang up the boots both absolute Donkey. 😅 #SEVMUN #bet365 #maguire #degea #manu #EuropaLeague https://t.co/xRpoVpDaIy,"{'username': 'Sprayer247', 'id': 1069732865066307584, 'displayname': 'SPRAY£R', 'rawDescription': 'Snap: Sprayer247 Insta: Sprayer247', 'renderedDescription': 'Snap: Sprayer247 Insta: Sprayer247', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2018, 12, 3, 23, 19, 24, tzinfo=datetime.timezone.utc), 'followersCount': 60, 'friendsCount': 165, 'statusesCount': 27, 'favouritesCount': 971, 'listedCount': 0, 'mediaCount': 6, 'location': 'London, England', 'protected': False, 'link': {'text': 'soundcloud.app.goo.gl/YLgdpZYsKG1usZ…', 'url': 'https://soundcloud.app.goo.gl/YLgdpZYsKG1usZiR6', 'tcourl': 'https://t.co/x6ODbEfDv7', 'indices': (0, 23)}, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1604634547827757056/3bz-JvPs_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1069732865066307584/1660089062', 'label': None}",0,0,0,0,0.73775333,0.22741167,0.034834962
1649156383202320385,2023-04-20 21:01:36+00:00,@xTass_ and you have....maguire https://t.co/nEzzltteI8,"{'username': 'burning__fire', 'id': 963072887711297537, 'displayname': 'fake martyna', 'rawDescription': '@lewishamilton | @mancity | fan account', 'renderedDescription': '@lewishamilton | @mancity | fan account', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2018, 2, 12, 15, 30, 44, tzinfo=datetime.timezone.utc), 'followersCount': 3517, 'friendsCount': 681, 'statusesCount': 30277, 'favouritesCount': 102498, 'listedCount': 49, 'mediaCount': 4926, 'location': 'she/her ', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1643724994654904322/eXevbpa1_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/963072887711297537/1679679507', 'label': None}",0,0,0,0,0.26483402,0.68375385,0.051412135
1649156383063801857,2023-04-20 21:01:36+00:00,@ImpressionistAL Can play shaw instead of Maguire. Ffs I’d  do Better than Maguire,"{'username': 'Jonny07053956', 'id': 1421881031930568706, 'displayname': 'Jonny YouRed 🔴', 'rawDescription': 'Father of 3 Legends Electrical contractor Manchester United fanatic Bitcoin maxi. #Do good get good✌', 'renderedDescription': 'Father of 3 Legends Electrical contractor Manchester United fanatic Bitcoin maxi. #Do good get good✌', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 8, 1, 17, 10, 45, tzinfo=datetime.timezone.utc), 'followersCount': 37, 'friendsCount': 331, 'statusesCount': 2716, 'favouritesCount': 1725, 'listedCount': 6, 'mediaCount': 69, 'location': 'Dublin City, Ireland', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1522307612460650498/PkHIo1cO_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1421881031930568706/1681496235', 'label': None}",0,0,0,0,0.3741549,0.5073694,0.11847568
1649156382006947841,2023-04-20 21:01:35+00:00,@AjMalAjMu @ManUtd You can defend him all you wish but even minus that moment Maguire is still shi*te! As useless to United as Phil Jones.,"{'username': 'EKiarii', 'id': 537650211, 'displayname': 'Edwin Kiarii', 'rawDescription': ""I'll be there on most occasions, because I love sharing with friends whatever there is-including pain! I think am principled, honest, reliable & appreciative..."", 'renderedDescription': ""I'll be there on most occasions, because I love sharing with friends whatever there is-including pain! I think am principled, honest, reliable & appreciative..."", 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2012, 3, 26, 21, 10, 4, tzinfo=datetime.timezone.utc), 'followersCount': 590, 'friendsCount': 2341, 'statusesCount': 9576, 'favouritesCount': 7403, 'listedCount': 8, 'mediaCount': 141, 'location': 'Nairobi, Kenya', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/633418944733294592/nCfv1mnN_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/537650211/1358049807', 'label': None}",0,0,0,0,0.84124094,0.1459043,0.012854774
1649156381679796230,2023-04-20 21:01:35+00:00,Maguire &amp; Upamecano tonight https://t.co/R7dFmL5IIS,"{'username': 'jordhill97', 'id': 572127439, 'displayname': 'Jord', 'rawDescription': '', 'renderedDescription': '', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2012, 5, 5, 22, 43, 26, tzinfo=datetime.timezone.utc), 'followersCount': 550, 'friendsCount': 463, 'statusesCount': 5115, 'favouritesCount': 7384, 'listedCount': 1, 'mediaCount': 122, 'location': 'Salford', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1588450155182825472/7eNM2ANk_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/572127439/1667551014', 'label': None}",0,0,0,0,0.01925159,0.90367275,0.07707561
1649156381642047488,2023-04-20 21:01:35+00:00,MAGUIRE PUSHES MAN UTD OUT OF THE EUROPA LEAGUE. 😭😭😭😭😭 https://t.co/dpuT3HMrry,"{'username': 'GateteGilbertRw', 'id': 1355704598963638278, 'displayname': '▓umuhunguwabanyarwanda0😌▓', 'rawDescription': '\uf0d8█Entertainment & Recreation\n\uf0d8█Beauty, Cosmetic & Personal Care\n\uf0d8█Advertising & Marketing Agency\n\uf0d8█Media Personality', 'renderedDescription': '\uf0d8█Entertainment & Recreation\n\uf0d8█Beauty, Cosmetic & Personal Care\n\uf0d8█Advertising & Marketing Agency\n\uf0d8█Media Personality', 'descriptionLinks': None, 'verified': False, 'created': datetime.datetime(2021, 1, 31, 2, 29, 37, tzinfo=datetime.timezone.utc), 'followersCount': 45, 'friendsCount': 168, 'statusesCount': 371, 'favouritesCount': 1438, 'listedCount': 0, 'mediaCount': 85, 'location': 'Kigali,Rwanda', 'protected': False, 'link': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1646445384162590721/LncXtnf0_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1355704598963638278/1663666412', 'label': None}",0,0,0,0,0.9055434,0.08597164,0.008485062
